+----------------+--------------------------------------------------------------------------+------------------------------------------------+
| U+04C9->U+043D | CYRILLIC CAPITAL LETTER EN WITH TAIL                                     | CYRILLIC SMALL LETTER EN                       |
| U+04CA->U+043D | CYRILLIC SMALL LETTER EN WITH TAIL                                       | CYRILLIC SMALL LETTER EN                       |
| U+04CB->U+0447 | CYRILLIC CAPITAL LETTER KHAKASSIAN CHE                                   | CYRILLIC SMALL LETTER CHE                      |
| U+04CC->U+0447 | CYRILLIC SMALL LETTER KHAKASSIAN CHE                                     | CYRILLIC SMALL LETTER CHE                      |
| U+04CD->U+043C | CYRILLIC CAPITAL LETTER EM WITH TAIL                                     | CYRILLIC SMALL LETTER EM                       |
| U+04CE->U+043C | CYRILLIC SMALL LETTER EM WITH TAIL                                       | CYRILLIC SMALL LETTER EM                       |
| U+04D0->U+0430 | CYRILLIC CAPITAL LETTER A WITH BREVE                                     | CYRILLIC SMALL LETTER A                        |
| U+04D1->U+0430 | CYRILLIC SMALL LETTER A WITH BREVE                                       | CYRILLIC SMALL LETTER A                        |
| U+04D2->U+0430 | CYRILLIC CAPITAL LETTER A WITH DIAERESIS                                 | CYRILLIC SMALL LETTER A                        |
| U+04D3->U+0430 | CYRILLIC SMALL LETTER A WITH DIAERESIS                                   | CYRILLIC SMALL LETTER A                        |
| U+04D4->U+00E6 | CYRILLIC CAPITAL LIGATURE A IE                                           | LATIN SMALL LETTER AE                          |
| U+04D5->U+00E6 | CYRILLIC SMALL LIGATURE A IE                                             | LATIN SMALL LETTER AE                          |
| U+04D6->U+0435 | CYRILLIC CAPITAL LETTER IE WITH BREVE                                    | CYRILLIC SMALL LETTER IE                       |
| U+04D7->U+0435 | CYRILLIC SMALL LETTER IE WITH BREVE                                      | CYRILLIC SMALL LETTER IE                       |
| U+04D8->U+04D9 | CYRILLIC CAPITAL LETTER SCHWA                                            | CYRILLIC SMALL LETTER SCHWA                    |
